As of Date,Facility PFI,Facility Name,DOH Region,Facility County,Facility Network,NY Forward Region,Total Staffed Acute Care Beds,Total Staffed Acute Care Beds Occupied,Total Staffed Acute Care Beds Available,Total Staffed ICU Beds,Total Staffed ICU Beds Currently Occupied,Total Staffed ICU Beds Currently Available
09/11/2025,001098,ST. JOSEPH'S MC (1098),METROPOLITAN AREA REGIONAL OFFICE - NEW ROCHELLE,WESTCHESTER,ST. JOSEPH'S MC,MID-HUDSON,97,100,-3,6,1,5
09/11/2025,001133,ST. JOSEPH'S MC: ST. VINCENT'S (1133),METROPOLITAN AREA REGIONAL OFFICE - NEW ROCHELLE,WESTCHESTER,ST. JOSEPH'S MC,MID-HUDSON,126,101,25,0,0,0
09/11/2025,000694,ST. LUKE'S CORNWALL: NEWBURGH (0694),METROPOLITAN AREA REGIONAL OFFICE - NEW ROCHELLE,ORANGE,MONTEFIORE HEALTH SYSTEM,MID-HUDSON,189,123,66,18,9,9
09/11/2025,000484,ST. MARY'S HEALTHCARE (0484),CAPITAL DISTRICT REGIONAL OFFICE,MONTGOMERY,ST. MARY'S HEALTHCARE,MOHAWK VALLEY,177,45,132,7,5,2
09/11/2025,000482,ST. MARY'S: AMSTERDAM MEMORIAL (0482),CAPITAL DISTRICT REGIONAL OFFICE,MONTGOMERY,ST. MARY'S HEALTHCARE,MOHAWK VALLEY,37,15,22,0,0,0
09/11/2025,009431,ST. PETER'S ADDICTION RECOVERY (9431),CAPITAL DISTRICT REGIONAL OFFICE,ALBANY,ST. PETER'S HEALTH,CAPITAL REGION,40,24,16,0,0,0
09/11/2025,000005,ST. PETER'S HOSPITAL (0005),CAPITAL DISTRICT REGIONAL OFFICE,ALBANY,ST. PETER'S HEALTH,CAPITAL REGION,386,289,97,44,21,23
09/11/2025,001740,STATEN ISLAND UNIVERSITY: NORTH (1740),METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,RICHMOND,NORTHWELL HEALTH,NEW YORK CITY,528,436,92,66,49,17
09/11/2025,001737,STATEN ISLAND UNIVERSITY: SOUTH (1737),METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,RICHMOND,NORTHWELL HEALTH,NEW YORK CITY,126,93,33,16,10,6
09/11/2025,000891,STONY BROOK: EASTERN LONG ISLAND (0891),METROPOLITAN AREA REGIONAL OFFICE - LONG ISLAND,SUFFOLK,STONY BROOK MEDICINE,LONG ISLAND,80,46,34,4,2,2
09/11/2025,000889,STONY BROOK: SOUTHAMPTON HOSPITAL (0889),METROPOLITAN AREA REGIONAL OFFICE - LONG ISLAND,SUFFOLK,STONY BROOK MEDICINE,LONG ISLAND,92,66,26,11,7,4
09/11/2025,000245,STONY BROOK: UNIVERSITY HOSPITAL (0245),METROPOLITAN AREA REGIONAL OFFICE - LONG ISLAND,SUFFOLK,STONY BROOK MEDICINE,LONG ISLAND,623,539,84,75,47,28
09/11/2025,000413,STRONG MEMORIAL HOSPITAL (0413),WESTERN REGIONAL OFFICE - ROCHESTER,MONROE,UNIVERSITY OF ROCHESTER,FINGER LAKES,706,645,61,100,96,4
09/11/2025,000831,SUNNYVIEW HOSPITAL AND REHAB CTR. (0831),CAPITAL DISTRICT REGIONAL OFFICE,SCHENECTADY,ST. PETER'S HEALTH,CAPITAL REGION,115,87,28,0,0,0
09/11/2025,000550,SYOSSET HOSPITAL (0550),METROPOLITAN AREA REGIONAL OFFICE - LONG ISLAND,NASSAU,NORTHWELL HEALTH,LONG ISLAND,54,38,16,6,4,2
09/11/2025,000042,UHS: BINGHAMTON GENERAL HOSPITAL (0042),CENTRAL NEW YORK REGIONAL OFFICE,BROOME,UNITED HEALTH SERVICES,SOUTHERN TIER,125,102,23,4,2,2
09/11/2025,000058,UHS: WILSON MEDICAL CENTER (0058),CENTRAL NEW YORK REGIONAL OFFICE,BROOME,UNITED HEALTH SERVICES,SOUTHERN TIER,308,277,31,30,29,1
09/11/2025,000340,UNITED MEMORIAL MC: BANK ST. (0340),WESTERN REGIONAL OFFICE - BUFFALO,GENESEE,ROCHESTER REGIONAL HEALTH,FINGER LAKES,22,11,11,0,0,0
09/11/2025,000339,UNITED MEMORIAL MC: NORTH ST. (0339),WESTERN REGIONAL OFFICE - BUFFALO,GENESEE,ROCHESTER REGIONAL HEALTH,FINGER LAKES,93,60,33,10,5,5
09/11/2025,000471,UNITY HOSPITAL: ROCHESTER (0471),WESTERN REGIONAL OFFICE - ROCHESTER,MONROE,ROCHESTER REGIONAL HEALTH,FINGER LAKES,313,292,21,18,18,0
09/11/2025,000412,UNITY SPECIALTY HOSPITAL (0412),WESTERN REGIONAL OFFICE - ROCHESTER,MONROE,ROCHESTER REGIONAL HEALTH,FINGER LAKES,20,20,0,0,0,0
09/11/2025,001320,UNIVERSITY: SUNY DOWNSTATE (1320),METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,KINGS,SUNY UPSTATE,NEW YORK CITY,223,164,59,26,16,10
09/11/2025,000103,UPMC: CHAUTAUQUA AT WCA (0103),WESTERN REGIONAL OFFICE - BUFFALO,CHAUTAUQUA,UPMC,WESTERN NEW YORK,151,105,46,14,8,6
09/11/2025,000628,UPSTATE: COMMUNITY HOSPITAL (0628),CENTRAL NEW YORK REGIONAL OFFICE,ONONDAGA,SUNY UPSTATE,CENTRAL NEW YORK,174,157,17,14,12,2
09/11/2025,000635,UPSTATE: UNIVERSITY HOSPITAL (0635),CENTRAL NEW YORK REGIONAL OFFICE,ONONDAGA,SUNY UPSTATE,CENTRAL NEW YORK,374,342,32,92,85,7
09/11/2025,009531,URMC: STRONG WEST (9531),WESTERN REGIONAL OFFICE - ROCHESTER,MONROE,UNIVERSITY OF ROCHESTER,FINGER LAKES,0,0,0,0,0,0
09/11/2025,000325,UVM: ALICE HYDE MEDICAL CENTER (0325),CAPITAL DISTRICT REGIONAL OFFICE,FRANKLIN,UNIVERSITY OF VERMONT,NORTH COUNTRY,37,17,20,0,0,0
09/11/2025,000135,UVM: CHAMPLAIN VALLEY (0135),CAPITAL DISTRICT REGIONAL OFFICE,CLINTON,UNIVERSITY OF VERMONT,NORTH COUNTRY,242,150,92,36,4,32
09/11/2025,000303,UVM: ELIZABETHTOWN COMMUNITY (0303),CAPITAL DISTRICT REGIONAL OFFICE,ESSEX,UNIVERSITY OF VERMONT,NORTH COUNTRY,25,20,5,0,0,0
09/11/2025,000309,UVM: TICONDEROGA MEDICAL VILLAGE (0309),CAPITAL DISTRICT REGIONAL OFFICE,ESSEX,UNIVERSITY OF VERMONT,NORTH COUNTRY,0,0,0,0,0,0
09/11/2025,000181,VASSAR BROTHERS MC (0181),METROPOLITAN AREA REGIONAL OFFICE - NEW ROCHELLE,DUTCHESS,NUVANCE HEALTH,MID-HUDSON,372,281,91,30,27,3
09/11/2025,001139,WESTCHESTER MC (1139),METROPOLITAN AREA REGIONAL OFFICE - NEW ROCHELLE,WESTCHESTER,WMC HEALTH,MID-HUDSON,528,495,33,155,149,6
09/11/2025,000111,WESTFIELD MEMORIAL HOSPITAL (0111),WESTERN REGIONAL OFFICE - BUFFALO,CHAUTAUQUA,ALLEGHENY HEALTH,WESTERN NEW YORK,4,0,4,0,0,0
09/11/2025,001045,WHITE PLAINS HOSPITAL CENTER (1045),METROPOLITAN AREA REGIONAL OFFICE - NEW ROCHELLE,WESTCHESTER,MONTEFIORE HEALTH SYSTEM,MID-HUDSON,338,307,31,22,17,5
09/11/2025,001046,WINIFRED MASTERSON BURKE REHAB (1046),METROPOLITAN AREA REGIONAL OFFICE - NEW ROCHELLE,WESTCHESTER,MONTEFIORE HEALTH SYSTEM,MID-HUDSON,149,118,31,0,0,0
09/11/2025,001692,WOODHULL MEDICAL & MENTAL HEALTH (1692),METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,KINGS,NYC H+H,NEW YORK CITY,243,202,41,21,10,11
09/11/2025,001318,WYCKOFF HEIGHTS MC (1318),METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,KINGS,INDEPENDENT,NEW YORK CITY,168,113,55,16,9,7
09/11/2025,015478,WYNN HOSPITAL,CENTRAL NEW YORK REGIONAL OFFICE,ONEIDA,MVHS,MOHAWK VALLEY,381,318,63,45,39,6
09/11/2025,001153,WYOMING COUNTY COMMUNITY HOSPITAL (1153),WESTERN REGIONAL OFFICE - BUFFALO,WYOMING,INDEPENDENT,FINGER LAKES,62,17,45,9,2,7
09/10/2025,000739,A.O. FOX MEMORIAL HOSPITAL,CAPITAL DISTRICT REGIONAL OFFICE,OTSEGO,BASSETT HEALTHCARE,MOHAWK VALLEY,67,34,33,0,0,0
09/10/2025,008554,A.O. FOX MEMORIAL TRI-TOWN,CAPITAL DISTRICT REGIONAL OFFICE,DELAWARE,BASSETT HEALTHCARE,SOUTHERN TIER,0,0,0,0,0,0
09/10/2025,000324,ADIRONDACK MEDICAL CENTER SARANAC LAKE,CAPITAL DISTRICT REGIONAL OFFICE,FRANKLIN,INDEPENDENT,NORTH COUNTRY,66,37,29,4,3,1
09/10/2025,000001,ALBANY MEDICAL CENTER HOSPITAL,CAPITAL DISTRICT REGIONAL OFFICE,ALBANY,ALBANY MEDICAL CENTER,CAPITAL REGION,667,547,120,98,82,16
09/10/2025,000002,ALBANY MEDICAL CENTER SOUTH CAMPUS,CAPITAL DISTRICT REGIONAL OFFICE,ALBANY,ALBANY MEDICAL CENTER,CAPITAL REGION,0,0,0,0,0,0
09/10/2025,000116,ARNOT OGDEN MEDICAL CENTER,WESTERN REGIONAL OFFICE - ROCHESTER,CHEMUNG,ARNOT HEALTH,SOUTHERN TIER,194,92,102,28,9,19
09/10/2025,000085,AUBURN COMMUNITY HOSPITAL,CENTRAL NEW YORK REGIONAL OFFICE,CAYUGA,INDEPENDENT,CENTRAL NEW YORK,115,44,71,10,4,6
09/10/2025,001438,BELLEVUE HOSPITAL CENTER,METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,NEW YORK,NYC H+H,NEW YORK CITY,743,675,68,71,59,12
09/10/2025,000280,BERTRAND CHAFFEE HOSPITAL,WESTERN REGIONAL OFFICE - BUFFALO,ERIE,INDEPENDENT,WESTERN NEW YORK,15,4,11,0,0,0
09/10/2025,001138,BLYTHEDALE CHILDREN'S HOSPITAL,METROPOLITAN AREA REGIONAL OFFICE - NEW ROCHELLE,WESTCHESTER,INDEPENDENT,MID-HUDSON,0,0,0,0,0,0
09/10/2025,000708,BON SECOURS COMMUNITY HOSPITAL,METROPOLITAN AREA REGIONAL OFFICE - NEW ROCHELLE,ORANGE,WMC HEALTH,MID-HUDSON,100,56,44,8,2,6
09/10/2025,001164,BRONXCARE HOSPITAL CENTER,METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,BRONX,INDEPENDENT,NEW YORK CITY,143,79,64,0,0,0
09/10/2025,001178,BRONXCARE HOSPITAL CENTER (1178),METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,BRONX,INDEPENDENT,NEW YORK CITY,479,285,194,37,35,2
09/10/2025,001286,BROOKDALE HOSPITAL MEDICAL CENTER,METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,KINGS,ONE BROOKLYN HEALTH,NEW YORK CITY,343,291,52,33,33,0
09/10/2025,001288,BROOKLYN CENTER DOWNTOWN,METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,KINGS,INDEPENDENT,NEW YORK CITY,192,155,37,18,14,4
09/10/2025,000098,BROOKS TLC HOSPITAL,WESTERN REGIONAL OFFICE - BUFFALO,CHAUTAUQUA,INDEPENDENT,WESTERN NEW YORK,23,15,8,3,2,1
09/10/2025,000207,BUFFALO GENERAL MEDICAL CENTER,WESTERN REGIONAL OFFICE - BUFFALO,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,500,401,99,82,76,6
09/10/2025,010223,CALVARY HOSPITAL,METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,KINGS,INDEPENDENT,NEW YORK CITY,25,25,0,0,0,0
09/10/2025,001175,CALVARY HOSPITAL (1175),METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,BRONX,INDEPENDENT,NEW YORK CITY,198,187,11,0,0,0
09/10/2025,000815,CANTON POTSDAM HOSPITAL,CENTRAL NEW YORK REGIONAL OFFICE,ST. LAWRENCE,ST. LAWRENCE HEALTH,NORTH COUNTRY,93,78,15,6,5,1
09/10/2025,000379,CARTHAGE AREA HOSPITAL,CENTRAL NEW YORK REGIONAL OFFICE,JEFFERSON,INDEPENDENT,NORTH COUNTRY,25,22,3,4,4,0
09/10/2025,000977,CAYUGA MEDICAL CENTER ITHACA,CENTRAL NEW YORK REGIONAL OFFICE,TOMPKINS,CAYUGA HEALTH,SOUTHERN TIER,150,76,74,16,7,9
09/10/2025,000128,CHENANGO MEMORIAL HOSPITAL,CENTRAL NEW YORK REGIONAL OFFICE,CHENANGO,UNITED HEALTH SERVICES,SOUTHERN TIER,27,12,15,2,0,2
09/10/2025,000798,CLAXTON HEPBURN MEDICAL CENTER,CENTRAL NEW YORK REGIONAL OFFICE,ST. LAWRENCE,NORTH STAR HEALTH,NORTH COUNTRY,25,19,6,6,6,0
09/10/2025,000817,CLIFTON FINE HOSPITAL,CENTRAL NEW YORK REGIONAL OFFICE,ST. LAWRENCE,INDEPENDENT,NORTH COUNTRY,0,0,0,0,0,0
09/10/2025,000676,CLIFTON SPRINGS HOSPITAL & CLINIC,WESTERN REGIONAL OFFICE - ROCHESTER,ONTARIO,ROCHESTER REGIONAL HEALTH,FINGER LAKES,88,79,9,6,5,1
09/10/2025,010216,COBLESKILL REGIONAL HOSPITAL,CAPITAL DISTRICT REGIONAL OFFICE,SCHOHARIE,BASSETT HEALTHCARE,MOHAWK VALLEY,35,16,19,0,0,0
09/10/2025,000146,COLUMBIA MEMORIAL HOSPITAL,CAPITAL DISTRICT REGIONAL OFFICE,COLUMBIA,ALBANY MEDICAL CENTER,CAPITAL REGION,103,80,23,6,2,4
09/10/2025,000401,COMMUNITY MEMORIAL HOSPITAL,CENTRAL NEW YORK REGIONAL OFFICE,MADISON,INDEPENDENT,CENTRAL NEW YORK,25,24,1,0,0,0
09/10/2025,001294,CONEY ISLAND HOSPITAL,METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,KINGS,NYC H+H,NEW YORK CITY,359,336,23,38,30,8
09/10/2025,000866,CORNING HOSPITAL,WESTERN REGIONAL OFFICE - ROCHESTER,STEUBEN,THE GUTHRIE CLINIC,SOUTHERN TIER,63,60,3,8,8,0
09/10/2025,000959,CROUSE COMMONWEALTH DIVISION,CENTRAL NEW YORK REGIONAL OFFICE,ONONDAGA,CROUSE HEALTH,CENTRAL NEW YORK,32,27,5,0,0,0
09/10/2025,000636,CROUSE HOSPITAL,CENTRAL NEW YORK REGIONAL OFFICE,ONONDAGA,CROUSE HEALTH,CENTRAL NEW YORK,310,277,33,24,19,5
09/10/2025,000037,CUBA MEMORIAL HOSPITAL,WESTERN REGIONAL OFFICE - BUFFALO,ALLEGANY,INDEPENDENT,WESTERN NEW YORK,15,4,11,0,0,0
09/10/2025,010355,DAVID H. KOCH CANCER CENTER,METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,NEW YORK,MEMORIAL SLOAN KETTERING,NEW YORK CITY,14,13,1,0,0,0
09/10/2025,000581,DEGRAFF MEMORIAL HOSPITAL,WESTERN REGIONAL OFFICE - BUFFALO,NIAGARA,KALEIDA HEALTH,WESTERN NEW YORK,0,0,0,0,0,0
09/10/2025,000174,DELAWARE VALLEY HOSPITAL,CAPITAL DISTRICT REGIONAL OFFICE,DELAWARE,UNITED HEALTH SERVICES,SOUTHERN TIER,21,14,7,0,0,0
09/10/2025,001002,ELLENVILLE REGIONAL HOSPITAL,METROPOLITAN AREA REGIONAL OFFICE - NEW ROCHELLE,ULSTER,INDEPENDENT,MID-HUDSON,25,18,7,0,0,0
09/10/2025,000829,ELLIS HOSPITAL,CAPITAL DISTRICT REGIONAL OFFICE,SCHENECTADY,ELLIS MEDICINE,CAPITAL REGION,364,201,163,62,20,42
09/10/2025,000848,ELLIS HOSPITAL BELLEVUE WOMAN'S,CAPITAL DISTRICT REGIONAL OFFICE,SCHENECTADY,ELLIS MEDICINE,CAPITAL REGION,70,13,57,0,0,0
09/10/2025,001626,ELMHURST HOSPITAL CENTER,METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,QUEENS,NYC H+H,NEW YORK CITY,449,406,43,29,25,4
09/10/2025,000210,ERIE COUNTY MEDICAL CENTER,WESTERN REGIONAL OFFICE - BUFFALO,ERIE,INDEPENDENT,WESTERN NEW YORK,518,440,78,40,33,7
09/10/2025,000678,F.F. THOMPSON HOSPITAL,WESTERN REGIONAL OFFICE - ROCHESTER,ONTARIO,UNIVERSITY OF ROCHESTER,FINGER LAKES,104,92,12,12,8,4
09/10/2025,001628,FLUSHING HOSPITAL MEDICAL CENTER,METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,QUEENS,MEDISYS HEALTH NETWORK,NEW YORK CITY,188,116,72,22,8,14
09/10/2025,000699,GARNET HEALTH MEDICAL CENTER,METROPOLITAN AREA REGIONAL OFFICE - NEW ROCHELLE,ORANGE,GARNET HEALTH,MID-HUDSON,421,362,59,40,23,17
09/10/2025,000971,GARNET HEALTH MEDICAL CENTER CATSKILLS,METROPOLITAN AREA REGIONAL OFFICE - NEW ROCHELLE,SULLIVAN,GARNET HEALTH,MID-HUDSON,85,59,26,11,9,2
09/10/2025,000968,GARNET HEALTH MEDICAL CENTER HERMANN,METROPOLITAN AREA REGIONAL OFFICE - NEW ROCHELLE,SULLIVAN,GARNET HEALTH,MID-HUDSON,15,2,13,0,0,0
09/10/2025,000671,GENEVA GENERAL HOSPITAL,WESTERN REGIONAL OFFICE - ROCHESTER,ONTARIO,FINGER LAKES HEALTH,FINGER LAKES,43,43,0,6,5,1
09/10/2025,000490,GLEN COVE HOSPITAL,METROPOLITAN AREA REGIONAL OFFICE - LONG ISLAND,NASSAU,NORTHWELL HEALTH,LONG ISLAND,186,140,46,15,6,9
09/10/2025,001005,GLENS FALLS HOSPITAL,CAPITAL DISTRICT REGIONAL OFFICE,WARREN,INDEPENDENT,CAPITAL REGION,204,167,37,16,12,4
09/10/2025,000925,GOOD SAMARITAN MEDICAL CENTER,METROPOLITAN AREA REGIONAL OFFICE - LONG ISLAND,SUFFOLK,"CATHOLIC HEALTH, LI",LONG ISLAND,353,292,61,51,46,5
09/10/2025,000779,GOOD SAMARITAN SUFFERN,METROPOLITAN AREA REGIONAL OFFICE - NEW ROCHELLE,ROCKLAND,WMC HEALTH,MID-HUDSON,287,187,100,50,26,24
09/10/2025,000812,GOUVERNEUR HOSPITAL,CENTRAL NEW YORK REGIONAL OFFICE,ST. LAWRENCE,ST. LAWRENCE HEALTH,NORTH COUNTRY,25,17,8,0,0,0
09/10/2025,000158,GUTHRIE CORTLAND MEDICAL CENTER,CENTRAL NEW YORK REGIONAL OFFICE,CORTLAND,THE GUTHRIE CLINIC,CENTRAL NEW YORK,80,51,29,9,2,7
09/10/2025,001445,HARLEM HOSPITAL CENTER,METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,NEW YORK,NYC H+H,NEW YORK CITY,208,156,52,0,0,0
09/10/2025,000989,HEALTHALLIANCE MARY'S AVE,METROPOLITAN AREA REGIONAL OFFICE - NEW ROCHELLE,ULSTER,WMC HEALTH,MID-HUDSON,318,82,236,86,5,81
09/10/2025,000775,HELEN HAYES HOSPITAL,METROPOLITAN AREA REGIONAL OFFICE - NEW ROCHELLE,ROCKLAND,INDEPENDENT,MID-HUDSON,72,54,18,0,0,0
09/10/2025,001486,HENRY J. CARTER SPECIALTY HOSPITAL,METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,NEW YORK,NYC H+H,NEW YORK CITY,201,121,80,0,0,0
09/10/2025,000409,HIGHLAND HOSPITAL,WESTERN REGIONAL OFFICE - ROCHESTER,MONROE,UNIVERSITY OF ROCHESTER,FINGER LAKES,324,293,31,13,10,3
09/10/2025,001447,HOSPITAL FOR SPECIAL SURGERY,METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,NEW YORK,INDEPENDENT,NEW YORK CITY,137,93,44,4,0,4
09/10/2025,000913,HUNTINGTON HOSPITAL,METROPOLITAN AREA REGIONAL OFFICE - LONG ISLAND,SUFFOLK,NORTHWELL HEALTH,LONG ISLAND,323,249,74,34,25,9
09/10/2025,001309,INTERFAITH MEDICAL CENTER,METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,KINGS,ONE BROOKLYN HEALTH,NEW YORK CITY,161,138,23,25,22,3
09/10/2025,000873,IRA DAVENPORT MEMORIAL,WESTERN REGIONAL OFFICE - ROCHESTER,STEUBEN,ARNOT HEALTH,SOUTHERN TIER,0,0,0,0,0,0
09/10/2025,001165,JACOBI MEDICAL CENTER,METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,BRONX,NYC H+H,NEW YORK CITY,368,290,78,44,27,17
09/10/2025,001629,JAMAICA HOSPITAL MEDICAL CENTER,METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,QUEENS,MEDISYS HEALTH NETWORK,NEW YORK CITY,325,277,48,26,24,2
09/10/2025,000039,JONES MEMORIAL HOSPITAL,WESTERN REGIONAL OFFICE - BUFFALO,ALLEGANY,UNIVERSITY OF ROCHESTER,WESTERN NEW YORK,33,19,14,5,3,2
09/10/2025,000267,KENMORE MERCY HOSPITAL,WESTERN REGIONAL OFFICE - BUFFALO,ERIE,CATHOLIC HEALTH BUFFALO,WESTERN NEW YORK,170,140,30,14,5,9
09/10/2025,001301,KINGS COUNTY HOSPITAL CENTER,METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,KINGS,NYC H+H,NEW YORK CITY,454,417,37,40,26,14
09/10/2025,000012,LAKEVIEW MENTAL HEALTH & WELLNESS,CENTRAL NEW YORK REGIONAL OFFICE,OSWEGO,OSWEGO HEALTH,CENTRAL NEW YORK,22,14,8,0,0,0
09/10/2025,009700,LENOX HEALTH GREENWICH VILLAGE,METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,NEW YORK,NORTHWELL HEALTH,NEW YORK CITY,0,0,0,0,0,0
09/10/2025,001450,LENOX HILL HOSPITAL,METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,NEW YORK,NORTHWELL HEALTH,NEW YORK CITY,559,347,212,48,35,13
09/10/2025,000383,LEWIS COUNTY GENERAL HOSPITAL,CENTRAL NEW YORK REGIONAL OFFICE,LEWIS,INDEPENDENT,NORTH COUNTRY,33,13,20,5,3,2
09/10/2025,001172,LINCOLN MEDICAL & MENTAL HEALTH (1172),METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,BRONX,NYC H+H,NEW YORK CITY,443,266,177,135,33,102
09/10/2025,000362,LITTLE FALLS HOSPITAL (0362),CENTRAL NEW YORK REGIONAL OFFICE,HERKIMER,BASSETT HEALTHCARE,MOHAWK VALLEY,24,13,11,0,0,0
09/10/2025,015464,LOCKPORT MEMORIAL HOSPITAL (15464),WESTERN REGIONAL OFFICE - BUFFALO,NIAGARA,CATHOLIC HEALTH BUFFALO,WESTERN NEW YORK,10,23,-13,0,0,0
09/10/2025,001630,LONG ISLAND JEWISH MC (1630),METROPOLITAN AREA REGIONAL OFFICE - LONG ISLAND,NASSAU,NORTHWELL HEALTH,LONG ISLAND,576,540,36,54,45,9
09/10/2025,001638,LONG ISLAND JEWISH: FOREST HILLS (1638),METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,QUEENS,NORTHWELL HEALTH,NEW YORK CITY,250,216,34,18,15,3
09/10/2025,000518,LONG ISLAND JEWISH: VALLEY STREAM (0518),METROPOLITAN AREA REGIONAL OFFICE - LONG ISLAND,NASSAU,NORTHWELL HEALTH,LONG ISLAND,218,130,88,16,11,5
09/10/2025,001305,MAIMONIDES MC (1305),METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,KINGS,MAIMONIDES HEALTH,NEW YORK CITY,630,513,117,62,47,15
09/10/2025,001293,MAIMONIDES MIDWOOD COMMUNITY,METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,KINGS,MAIMONIDES HEALTH,NEW YORK CITY,120,93,27,5,7,-2
09/10/2025,000170,MARGARETVILLE HOSPITAL (0170),CAPITAL DISTRICT REGIONAL OFFICE,DELAWARE,WMC HEALTH,SOUTHERN TIER,24,4,20,0,0,0
09/10/2025,000746,MARY IMOGENE BASSETT HOSPITAL (0746),CAPITAL DISTRICT REGIONAL OFFICE,OTSEGO,BASSETT HEALTHCARE,MOHAWK VALLEY,224,144,80,14,13,1
09/10/2025,000804,MASSENA HOSPITAL (0804),CENTRAL NEW YORK REGIONAL OFFICE,ST. LAWRENCE,ST. LAWRENCE HEALTH,NORTH COUNTRY,32,18,14,0,0,0
09/10/2025,000895,MATHER HOSPITAL: PORT JEFFERSON (0895),METROPOLITAN AREA REGIONAL OFFICE - LONG ISLAND,SUFFOLK,NORTHWELL HEALTH,LONG ISLAND,348,174,174,20,14,6
09/10/2025,000718,MEDINA MEMORIAL HOSPITAL (0718),WESTERN REGIONAL OFFICE - BUFFALO,ORLEANS,INDEPENDENT,FINGER LAKES,25,12,13,0,0,0
09/10/2025,001453,MEMORIAL HOSPITAL FOR CANCER (1453),METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,NEW YORK,MEMORIAL SLOAN KETTERING,NEW YORK CITY,451,431,20,19,19,0
09/10/2025,000213,MERCY HOSPITAL: BUFFALO (0213),WESTERN REGIONAL OFFICE - BUFFALO,ERIE,CATHOLIC HEALTH BUFFALO,WESTERN NEW YORK,358,283,75,35,24,11
09/10/2025,001723,MERCY HOSPITAL: ORCHARD PARK DIV. (1723),WESTERN REGIONAL OFFICE - BUFFALO,ERIE,CATHOLIC HEALTH BUFFALO,WESTERN NEW YORK,15,11,4,0,0,0
09/10/2025,000513,MERCY MC (0513),METROPOLITAN AREA REGIONAL OFFICE - LONG ISLAND,NASSAU,"CATHOLIC HEALTH, LI",LONG ISLAND,248,200,48,13,10,3
09/10/2025,001454,METROPOLITAN HOSPITAL CENTER (1454),METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,NEW YORK,NYC H+H,NEW YORK CITY,202,181,21,10,8,2
09/10/2025,000180,MID-HUDSON VALLEY HOSPITAL (0180),METROPOLITAN AREA REGIONAL OFFICE - NEW ROCHELLE,DUTCHESS,WMC HEALTH,MID-HUDSON,219,148,71,14,6,8
09/10/2025,003067,MILLARD FILLMORE HOSPITAL (3067),WESTERN REGIONAL OFFICE - BUFFALO,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,268,231,37,20,11,9
09/10/2025,001169,MONTEFIORE MC: HENRY & LUCY MOSES (1169),METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,BRONX,MONTEFIORE HEALTH SYSTEM,NEW YORK CITY,660,576,84,80,53,27
09/10/2025,001168,MONTEFIORE MC: WAKEFIELD HOSPITAL (1168),METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,BRONX,MONTEFIORE HEALTH SYSTEM,NEW YORK CITY,275,221,54,16,15,1
09/10/2025,003058,MONTEFIORE MC: WEILER HOSPITAL (3058),METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,BRONX,MONTEFIORE HEALTH SYSTEM,NEW YORK CITY,387,322,65,32,27,5
09/10/2025,001185,MONTEFIORE MC: WESTCHESTER SQUARE (1185),METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,BRONX,MONTEFIORE HEALTH SYSTEM,NEW YORK CITY,0,0,0,0,0,0
